kma_jid,t_max,t_diff,t_avg,hu,pd_in,HW
20160110_GB,6.658333333300001,9.65,1.7291666666999999,51.3,0,0
20160110_GG,5.0928571429,8.0047619048,0.6380952381,46.357142857,14,0
20160110_GJ,8.5,8.6,3.7,59.4,0,0
20160110_GN,8.55,11.331818182000001,2.2090909091,54.536363636000004,3,0
20160110_GW,5.455555555599999,9.0944444444,0.8388888889,41.972222222,0,0
20160110_IC,3.46,5.55,1.16,52.42,0,0
20160110_JB,6.873333333300001,9.313333333300001,1.8866666666999998,66.166666667,3,0
20160110_JJ,10.95,6.1,7.55,60.35,0,0
20160110_JN,8.4090909091,9.5727272727,3.0954545455,62.572727273000005,1,0
20160110_SU,3.8,6.5,0.3,42.3,11,0
20160111_BS,10.1,8.4,4.5,27.6,100,0
20160111_CB,2.4533333333000003,8.6933333333,-2.68,44.106666667,45,0
20160111_CN,2.74375,8.68125,-2.1,65.4125,63,0
20160111_DG,5.5,7.3,1.5,33.9,65,0
20160111_DJ,3.8,9.2,-1.8,54.6,44,0
20160111_GB,5.2375,9.641666666699999,-0.279166667,37.379166667,75,0
20160111_GG,1.7,8.0761904762,-3.233333333,40.916666667,200,0
20160111_GJ,5.3,6.2,1.5,48.8,49,0
20160111_GN,7.4590909090999995,8.8409090909,2.1772727273,36.240909091,78,0
20160111_GW,2.1611111111000003,9.8111111111,-3.383333333,41.75,43,0
20160111_IC,-0.79,5.05,-3.64,51.54,41,0
20160111_JB,3.6466666667000003,7.78,-0.76,57.693333333000005,81,0
20160111_JJ,9.9,4.55,7.35,60.55,19,0
20160111_JN,5.9772727273,7.0772727273000005,1.8818181818000002,51.922727273,59,0
20160111_SU,0.9,7.4,-3.8,38.3,224,0
20160111_US,8.4,8.1,3.5,22.3,16,0
20160112_BS,7.9,8.8,2.5,26.4,80,0
20160112_CB,1.88,11.213333333,-4.046666667,52.08,23,0
20160112_CN,2.3125,11.0375,-3.0375,69.63125,52,0
20160112_DG,5.2,11.1,-0.5,38.1,64,0
20160112_DJ,3.4,10.9,-2.7,58.8,46,0
20160112_GB,4.8416666667,12.1,-1.704166667,38.420833333000004,72,0
20160112_GG,1.1119047619,10.538095238,-4.788095238,51.207142857,220,0
20160112_GJ,4.1,8.3,-0.3,53.6,42,0
20160112_GN,6.3363636364,10.413636364,0.4272727273,30.977272727,67,0
20160112_GW,2.3333333333,12.583333332999999,-4.066666667,42.95555555600001,36,0
20160112_IC,-0.49,7.12,-4.44,57.95,45,0
20160112_JB,2.7333333332999996,10.3,-2.4533333330000002,61.973333333,83,0
20160112_JJ,7.15,3.3,5.15,56.7,18,0
20160112_JN,4.5545454544999995,7.9863636364,0.2681818182,54.604545455,60,0
20160112_SU,0.7,9.8,-5.2,46.0,235,0
20160112_US,7.7,9.0,2.0,20.9,12,0
20160113_BS,6.9,9.1,1.5,46.4,69,0
20160113_CB,1.0,6.5533333333,-2.38,70.07333333300001,33,0
20160113_CN,1.4,5.36875,-1.36875,83.01875,50,0
20160113_DG,3.1,7.0,0.0,57.1,55,0
20160113_DJ,1.5,5.2,-1.5,77.4,25,0
20160113_GB,2.525,7.854166666699999,-1.129166667,54.304166667,61,0
20160113_GG,0.8142857143000001,9.0738095238,-3.833333333,65.66190476199999,192,0
20160113_GJ,4.5,5.8,1.0,70.8,40,0
20160113_GN,5.1818181818,9.5909090909,-0.040909091,51.95,46,0
20160113_GW,0.7777777778,9.0611111111,-3.366666667,54.783333333,41,0
20160113_IC,0.24,7.2,-3.61,73.5,52,0
20160113_JB,1.0866666667,4.4,-1.1,84.473333333,53,0
20160113_JJ,5.9,3.75,4.25,59.4,8,0
20160113_JN,3.6318181818,4.9818181818000005,0.9590909090999999,66.890909091,56,0
20160113_SU,0.1,8.3,-4.5,63.0,201,0
20160113_US,5.9,7.7,1.2,44.6,12,0
20160114_BS,8.3,8.1,2.9,50.3,72,0
20160114_CB,1.9533333333,9.52,-2.5333333330000003,51.18,46,0
20160114_CN,2.63125,9.1125,-1.89375,70.59375,55,0
20160114_DG,3.9,6.9,0.2,56.1,65,0
20160114_DJ,3.7,10.2,-1.3,57.5,30,0
20160114_GB,3.2416666667,8.15,-1.25,48.416666667,54,0
20160114_GG,0.9976190476000001,10.811904762000001,-3.69047619,59.24047619,205,0
20160114_GJ,5.8,6.4,1.4,74.4,28,0
20160114_GN,5.718181818200001,8.845454545499999,0.6909090909000001,54.477272727,60,0
20160114_GW,0.6888888889,9.3888888889,-3.327777778,47.2,26,0
20160114_IC,1.33,7.99,-2.6,64.74,39,0
20160114_JB,2.9133333332999998,6.96,-1.173333333,77.26,71,0
20160114_JJ,8.4,4.05,5.95,49.1,12,0
20160114_JN,5.7454545454999995,8.0181818182,1.5,64.33181818199999,49,0
20160114_SU,1.3,9.7,-3.4,52.1,233,0
