,kma_jid,t_max,hu,lag1_t_max,lag1_hu,lag2_t_max,lag2_hu,lag3_t_max,lag3_hu,lag4_t_max,lag4_hu,lag5_t_max,lag5_hu,lag6_t_max,lag6_hu,lag7_t_max,lag7_hu,pd_in,date,place,month,day_of_week,day,weekdayname,holiday,isHW,lag1_isHW,lag2_isHW,lag3_isHW,lag4_isHW,lag5_isHW,lag6_isHW,lag7_isHW,HW_diff,lag1_HW_diff,lag2_HW_diff,lag3_HW_diff,lag4_HW_diff,lag5_HW_diff,lag6_HW_diff,lag7_HW_diff,is_first,is_weekend
2476,20160603_SU,27.7,48.1,29.1,38.3,29.9,45.8,27.6,63.6,28.9,57.3,27.6,56.1,28.0,56.1,27.1,61.3,219,2016-06-03,SU,6,4,3,Friday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2477,20160603_US,28.2,51.4,23.8,65.9,21.6,63.5,30.3,54.3,26.8,72.5,26.7,65.8,26.8,62.9,25.4,57.1,10,2016-06-03,US,6,4,3,Friday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False
2478,20160604_BS,23.8,78.8,25.7,49.4,24.0,60.5,23.6,53.5,30.5,55.1,26.6,62.3,25.4,75.4,24.1,65.5,14,2016-06-04,BS,6,5,4,Saturday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2479,20160604_CB,23.113333333000003,62.273333333000004,28.726666666999996,53.206666667,28.846666666999997,44.273333333000004,27.686666666999997,49.233333333000004,28.313333333000003,58.246666667,28.893333333,55.246666667,26.6,54.82,27.966666667,52.773333333000004,8,2016-06-04,CB,6,5,4,Saturday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2480,20160604_CN,21.58125,79.50625,28.01875,67.7,27.38125,71.0125,28.04375,68.4125,26.25,76.68125,27.96875,72.8625,26.1125,70.45625,26.3375,68.175,18,2016-06-04,CN,6,5,4,Saturday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2481,20160604_DG,23.0,71.0,31.2,44.8,28.0,54.8,25.1,52.0,30.8,47.1,32.3,52.9,28.6,57.8,29.2,50.6,16,2016-06-04,DG,6,5,4,Saturday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2482,20160604_DJ,22.0,77.0,29.0,60.1,29.3,51.1,28.4,59.1,27.9,64.9,29.4,66.0,26.9,60.8,28.0,57.5,5,2016-06-04,DJ,6,5,4,Saturday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2483,20160604_GB,23.608333333,65.3375,29.716666667,50.833333333,26.875,53.433333333,25.1,53.070833333,30.025,53.066666667,28.016666667,60.416666667,27.6,61.220833333,28.783333333,54.375,24,2016-06-04,GB,6,5,4,Saturday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2484,20160604_GG,24.928571429,60.611904761999995,27.816666667,55.688095238,28.788095238,47.504761905,29.20952381,54.285714286,27.321428571,71.48095238100001,28.523809524,64.25952381,27.126190475999998,62.530952381000006,27.471428571,63.378571429,60,2016-06-04,GG,6,5,4,Saturday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2485,20160604_GJ,22.2,86.8,28.6,61.8,28.4,70.8,28.8,66.6,28.6,60.8,29.9,61.9,26.7,69.4,26.9,65.1,11,2016-06-04,GJ,6,5,4,Saturday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2486,20160604_GN,22.659090909,81.55909090899999,28.204545455,55.731818182,26.736363636,56.240909091000006,26.122727273000002,52.23636363600001,30.290909091,58.622727273,31.013636364,60.240909091000006,26.127272726999998,76.231818182,26.459090909,68.58181818199999,28,2016-06-04,GN,6,5,4,Saturday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2487,20160604_GW,25.166666666999998,57.777777778,28.383333333000003,51.105555556000006,26.8,51.166666667,26.033333333,53.772222221999996,27.616666666999997,58.333333333,27.122222221999998,64.261111111,27.066666667,61.711111111,28.833333333000002,54.761111111000005,2,2016-06-04,GW,6,5,4,Saturday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2488,20160604_IC,23.66,81.37,24.44,70.86,25.49,66.42,27.57,64.65,23.08,91.33,24.68,83.85,24.44,84.47,23.8,79.01,17,2016-06-04,IC,6,5,4,Saturday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2489,20160604_JB,21.226666667,80.2,28.433333333,62.186666667,27.586666667,67.82,27.526666666999997,68.34,26.853333333000002,67.226666667,27.513333333000002,70.313333333,25.24,72.21333333300001,26.32,62.546666667,37,2016-06-04,JB,6,5,4,Saturday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2490,20160604_JJ,22.75,88.55,26.75,58.25,24.25,55.75,22.75,68.85,25.1,58.7,25.55,69.55,19.25,94.15,22.4,85.45,4,2016-06-04,JJ,6,5,4,Saturday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
2491,20160604_JN,21.063636364,89.06363636399999,26.8,65.654545455,25.940909090999998,69.495454545,26.845454545,66.604545455,27.05,66.0,28.827272726999997,67.68636363600001,25.281818182,77.381818182,24.75,77.2,24,2016-06-04,JN,6,5,4,Saturday,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
